url_length,has_https,hyphen_count,subdomain_count,suspicious_keyword_count,has_ip_address,form_count,script_count,image_count,wallet_keyword_count,known_entity,official_domain_match,search_domain_frequency,label
22,1,0,2,0,0,0,17,20,0,1,0,1,-1
22,1,0,2,0,0,0,17,20,0,1,0,1,-1
22,1,0,2,0,0,0,17,20,0,1,0,3,-1
22,1,0,2,0,0,0,17,20,0,1,0,3,-1
22,1,0,2,0,0,0,17,20,0,1,0,3,-1
22,1,0,2,0,0,0,17,20,0,1,0,3,-1
22,1,0,2,0,0,0,17,20,0,1,0,3,-1
23,1,0,2,0,0,1,2,1,0,1,0,2,-1
31,1,1,2,0,0,0,0,0,0,1,1,13,-1
43,1,0,2,0,0,0,0,0,0,1,1,9,-1
35,1,0,1,0,0,0,2,1,0,1,1,2,-1
19,1,0,1,0,0,0,20,20,0,1,1,11,-1
27,1,0,2,0,0,0,7,3,0,1,1,7,-1
20,1,0,1,0,0,0,20,20,0,1,0,6,-1
38,0,1,2,0,0,1,2,1,0,1,0,0,-1
30,1,0,2,0,0,0,14,4,1,1,1,7,-1
26,1,0,2,0,0,1,2,1,0,1,1,1,-1
20,1,0,2,0,0,0,20,20,0,1,1,2,-1
27,1,0,2,0,0,0,7,20,0,1,1,2,-1
26,1,0,2,0,0,0,20,20,1,1,1,4,-1
30,1,1,2,0,0,0,0,0,0,1,1,6,-1
26,1,0,2,0,0,0,20,20,0,0,1,2,-1
20,1,0,1,0,0,0,20,20,2,1,1,3,-1
25,1,0,2,0,0,1,5,20,0,1,1,2,-1
25,1,0,2,0,0,1,5,20,0,1,1,1,-1
62,1,0,2,0,0,1,16,20,0,1,1,6,-1
24,1,0,2,0,0,0,20,20,0,1,1,1,-1
60,1,0,2,0,0,0,20,1,0,1,1,5,-1
50,1,0,2,0,0,2,10,1,0,1,1,7,-1
14,1,0,1,0,0,0,6,0,0,1,0,5,-1
24,1,0,2,0,0,0,16,0,0,1,1,1,-1
31,1,0,2,0,0,0,20,20,0,1,0,2,-1
25,0,1,1,0,0,0,0,0,0,0,0,0,-1
26,0,1,2,0,0,0,0,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
43,0,3,2,1,0,0,0,5,1,0,0,0,-1
38,0,2,2,0,0,1,0,1,0,0,0,0,-1
20,0,0,2,0,0,0,9,20,0,1,0,0,-1
27,0,1,1,0,0,0,1,0,0,0,0,0,-1
40,0,2,2,0,0,0,2,0,0,0,0,1,-1
29,0,1,1,0,0,0,0,0,0,0,0,0,-1
27,0,1,2,0,0,0,0,0,3,0,0,1,-1
40,0,0,2,0,0,0,2,1,0,0,0,2,-1
34,0,0,3,0,0,0,1,1,0,0,0,0,-1
27,0,0,2,1,0,0,0,0,0,0,0,0,-1
24,0,1,1,1,0,0,2,1,0,0,0,0,-1
38,0,1,2,0,0,1,2,1,0,1,0,0,-1
21,0,0,1,0,0,1,1,0,0,0,0,0,-1
21,0,0,1,0,0,1,1,0,0,0,0,0,-1
27,0,0,2,1,0,0,0,0,0,0,0,0,-1
23,1,0,2,0,0,0,16,0,0,1,1,7,-1
30,1,0,2,0,0,0,15,4,1,1,1,3,-1
25,0,1,1,0,0,0,0,0,0,0,0,0,-1
25,0,1,1,0,0,0,0,0,0,0,0,0,-1
25,0,1,1,0,0,0,0,0,0,0,0,0,-1
25,0,1,1,0,0,0,0,0,0,0,0,0,-1
30,1,0,2,0,0,0,15,4,1,1,1,7,-1
26,1,0,2,0,0,1,2,1,0,1,1,1,-1
27,1,0,2,0,0,0,14,20,0,1,1,1,-1
27,1,0,2,0,0,0,14,20,0,1,1,5,-1
26,1,0,2,0,0,0,20,20,0,1,1,8,-1
30,1,1,2,0,0,0,4,20,1,1,1,5,-1
26,1,0,2,0,0,0,20,20,0,0,1,7,-1
20,1,0,1,0,0,0,20,20,2,1,1,8,-1
25,1,0,2,0,0,1,5,20,1,1,1,3,-1
62,1,0,2,0,0,1,16,20,0,1,1,6,-1
23,1,0,2,0,0,0,20,20,0,1,1,1,-1
60,1,0,2,0,0,0,20,1,0,1,1,7,-1
50,1,0,2,0,0,2,9,1,0,1,1,7,-1
14,1,0,1,0,0,0,2,0,0,1,0,3,-1
24,1,0,2,0,0,0,16,0,0,1,1,12,-1
31,1,0,2,0,0,0,0,0,0,1,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,1,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
27,0,1,2,0,0,1,1,0,0,0,0,0,-1
